,0
0,252.65819
1,79.08313
2,74.860435
3,71.658005
4,67.46457
5,64.82501
6,62.737236
7,62.489594
8,59.342426
9,57.917084
10,55.463203
11,55.03016
12,53.67431
13,52.483795
14,51.95985
15,51.015427
16,49.464333
17,49.28563
18,48.71006
19,48.629826
20,46.970535
21,46.32727
22,45.8974
23,45.351257
24,44.618362
25,44.587387
26,45.026283
27,43.360474
28,43.06178
29,42.39511
30,42.30187
31,41.2098
32,40.961678
33,40.651413
34,40.186985
35,40.809757
36,40.14303
37,39.215317
38,40.47316
39,38.358536
40,38.55785
41,37.972553
42,37.78762
43,38.636395
44,39.421505
45,37.272263
46,36.56729
47,36.741814
48,37.782417
49,36.21938
50,36.123135
51,36.257298
52,35.336987
53,35.64486
54,35.971252
55,35.03344
56,34.922073
57,34.264164
58,34.10692
59,33.49734
60,34.943752
61,33.983658
62,33.33784
63,35.27379
64,33.5216
65,34.091602
66,32.786087
67,33.69246
68,33.09046
69,32.87543
70,32.2472
71,31.24077
72,31.938265
73,31.265339
74,31.354332
75,30.765186
76,31.679815
77,31.638283
78,30.80384
79,30.651525
80,31.035831
81,30.392832
82,31.620296
83,30.601238
84,31.290148
85,30.637936
86,30.28976
87,30.042614
88,29.76381
89,29.74791
90,29.744263
91,30.42467
92,29.964128
93,29.754799
94,28.992619
95,29.516409
96,29.388378
97,28.660877
98,29.102922
99,28.792076
100,29.222387
101,28.543758
102,28.515812
103,27.991293
104,30.573952
105,28.189333
106,27.970154
107,28.028625
108,27.728165
109,28.39573
110,28.598053
111,28.130798
112,27.751526
113,28.111149
114,27.551876
115,27.336182
116,27.085197
117,27.287071
118,27.848099
119,27.01324
120,26.931108
121,28.282877
122,26.696121
123,27.062628
124,26.955906
125,26.723955
126,26.42378
127,27.1155
128,26.880306
129,26.163815
130,26.227371
131,26.38705
132,27.342102
133,25.790447
134,25.66952
135,26.051296
136,26.980255
137,25.900894
138,25.368803
139,25.861523
140,26.84755
141,25.644257
142,26.947117
143,25.5378
144,25.3334
145,25.300365
146,25.376034
147,25.801336
148,26.062527
149,24.612852
150,25.165728
151,25.211899
152,24.844025
153,24.833603
154,25.184155
155,24.29332
156,24.689316
157,24.595358
158,24.140572
159,24.850998
160,24.633202
161,23.816471
162,24.305439
163,25.300571
164,25.41384
165,24.300323
166,25.455624
167,25.117767
168,23.936264
169,23.911531
170,24.268936
171,23.411201
172,23.237665
173,24.090626
174,25.524418
175,25.06431
176,23.905113
177,23.222263
178,24.087067
179,24.367823
180,23.571695
181,23.821402
182,24.39086
183,23.063942
184,23.208035
185,23.317673
186,23.048483
187,23.134407
188,23.009077
189,24.209133
190,22.743761
191,23.580715
192,23.405207
193,23.314913
194,22.477428
195,23.313463
196,22.698334
197,22.959297
198,23.126055
199,23.455782
