route_list,hour_,route_id,route_dir,origin_station_name,origin_station_id,destination_station_name,destination_station_id,transfer_time,vehicle_flag_list,cc,avg_time,origin_date,full_price,origin_hour,via_stations,hourly_cnt,normal_cnt,normal_ratio,eld_cnt,eld_ratio,cnt_rnk,od_ratio
2230#0,19,2230,0,万胜围站,10020795,琶洲石基村（黄埔古港）总站,10003817,0,0,78,12.81215384615385,2022-03-31,2.0,2022-03-31#19,3.0,7,169,0.9941176470588236,1,0.005882352941176471,1,0.6902654867256637
2273#0,19,2273,0,万胜围站,10020795,琶洲石基村（黄埔古港）总站,10003817,0,0,35,6.804828571428573,2022-03-31,2.0,2022-03-31#19,3.0,4,169,0.9941176470588236,1,0.005882352941176471,2,0.3097345132743363
2273#0,20,2273,0,万胜围站,10020795,琶洲石基村（黄埔古港）总站,10003817,0,0,44,14.31936363636363,2022-03-31,2.0,2022-03-31#20,3.0,4,114,0.9827586206896552,1,0.008620689655172414,2,0.5
2230#0,20,2230,0,万胜围站,10020795,琶洲石基村（黄埔古港）总站,10003817,0,0,44,17.58936363636364,2022-03-31,2.0,2022-03-31#20,3.0,3,114,0.9827586206896552,1,0.008620689655172414,1,0.5
176#0,08,176,0,万胜围站,10020795,黄埔村站,10005282,0,0,28,5.505428571428572,2022-03-31,2.0,2022-03-31#08,2.0,9,92,0.968421052631579,3,0.03157894736842105,1,0.7777777777777778
106#1,08,106,1,万胜围站,10020795,黄埔村站,10005282,0,0,7,3.695142857142857,2022-03-31,1.2,2022-03-31#08,2.0,4,92,0.968421052631579,3,0.03157894736842105,2,0.1944444444444444
9150#1,08,9150,1,万胜围站,10020795,黄埔村站,10005282,0,0,1,4.1,2022-03-31,1.2,2022-03-31#08,2.0,2,92,0.968421052631579,3,0.03157894736842105,3,0.02777777777777778
176#0,18,176,0,万胜围站,10020795,黄埔村站,10005282,0,0,34,4.571088235294119,2022-03-31,2.0,2022-03-31#18,2.0,12,68,0.9315068493150684,5,0.0684931506849315,1,0.7555555555555555
106#1,18,106,1,万胜围站,10020795,黄埔村站,10005282,0,0,9,4.414999999999999,2022-03-31,2.0,2022-03-31#18,2.0,3,68,0.9315068493150684,5,0.0684931506849315,2,0.2
9150#1,18,9150,1,万胜围站,10020795,黄埔村站,10005282,0,0,2,4.5835,2022-03-31,1.2,2022-03-31#18,2.0,2,68,0.9315068493150684,5,0.0684931506849315,3,0.04444444444444445
830#1,09,830,1,三角市站,10004114,东山龟岗（中共三大会址）总站,10002612,0,0,14,10.58207142857143,2022-03-31,2.0,2022-03-31#09,4.0,6,4,0.1481481481481481,23,0.8518518518518519,1,0.6363636363636364
428#1,09,428,1,三角市站,10004114,东山龟岗（中共三大会址）总站,10002612,0,0,8,9.510500000000002,2022-03-31,0.6,2022-03-31#09,4.0,4,4,0.1481481481481481,23,0.8518518518518519,2,0.3636363636363636
732#1,09,732,1,上社站,10004300,体育中心站,10000264,0,0,8,27.972875,2022-03-31,2.0,2022-03-31#09,5.0,5,74,0.9367088607594936,5,0.06329113924050633,2,0.1379310344827586
713#1,09,713,1,上社站,10004302,体育中心站,10000268,0,0,41,23.62887804878049,2022-03-31,2.0,2022-03-31#09,5.0,19,74,0.9367088607594936,5,0.06329113924050633,1,0.7068965517241379
714#1,09,714,1,上社站,10004302,体育中心站,10000268,0,0,6,26.1,2022-03-31,2.0,2022-03-31#09,5.0,8,74,0.9367088607594936,5,0.06329113924050633,3,0.103448275862069
724#1,09,724,1,上社站,10004298,体育中心站,10000262,0,0,2,28.408,2022-03-31,1.2,2022-03-31#09,5.0,19,74,0.9367088607594936,5,0.06329113924050633,4,0.03448275862068965
715#1,09,715,1,上社站,10004300,体育中心站,10000264,0,0,1,45.7,2022-03-31,1.2,2022-03-31#09,5.0,2,74,0.9367088607594936,5,0.06329113924050633,5,0.01724137931034483
713#0,08,713,0,上社站,10004301,车陂站,10002106,0,0,69,12.76714492753623,2022-03-31,2.0,2022-03-31#08,5.0,13,99,0.9428571428571428,6,0.05714285714285714,1,1.0
713#0,10,713,0,上社站,10004301,车陂站,10002106,0,0,21,20.59438095238095,2022-03-31,2.0,2022-03-31#10,5.0,12,11,0.44,14,0.56,1,0.9130434782608696
723#0,10,723,0,上社站,10004297,车陂站,10002102,0,0,2,23.783,2022-03-31,0.0,2022-03-31#10,5.0,14,11,0.44,14,0.56,2,0.08695652173913043
151#0,18,151,0,下芳村站,10000636,鹤洞新村站,10004910,0,0,9,6.605555555555556,2022-03-31,2.0,2022-03-31#18,2.0,11,91,0.9479166666666666,5,0.05208333333333334,1,0.3333333333333333
1350#1,18,1350,1,下芳村站,10029036,鹤洞新村站,10004910,0,0,3,6.511333333333333,2022-03-31,1.2,2022-03-31#18,NULL,6,91,0.9479166666666666,5,0.05208333333333334,5,0.1111111111111111
43#1,18,43,1,下芳村站,10029036,鹤洞新村站,10004910,0,0,3,7.361,2022-03-31,1.2,2022-03-31#18,NULL,6,91,0.9479166666666666,5,0.05208333333333334,4,0.1111111111111111
393#0,18,393,0,下芳村站,10000636,鹤洞新村站,10004910,0,0,4,7.058249999999999,2022-03-31,2.0,2022-03-31#18,2.0,4,91,0.9479166666666666,5,0.05208333333333334,3,0.1481481481481481
193#1,18,193,1,下芳村站,10000636,鹤洞新村站,10004910,0,0,8,7.41675,2022-03-31,2.0,2022-03-31#18,2.0,3,91,0.9479166666666666,5,0.05208333333333334,2,0.2962962962962963
759#1,09,759,1,东圃客运站总站,10002572,体育中心站,10000266,0,0,22,41.98418181818182,2022-03-31,2.0,2022-03-31#09,13.0,2,23,0.9583333333333334,1,0.04166666666666666,1,1.0
428#0,16,428,0,东山龟岗（中共三大会址）总站,10002612,三角市站,10004113,0,0,6,13.63616666666667,2022-03-31,1.0,2022-03-31#16,4.0,2,13,0.40625,19,0.59375,2,0.2727272727272727
830#0,16,830,0,东山龟岗（中共三大会址）总站,10002612,三角市站,10004113,0,0,16,22.116625,2022-03-31,2.0,2022-03-31#16,4.0,1,13,0.40625,19,0.59375,1,0.7272727272727273
1170#1,07,1170,1,东怡新区站,10024063,何贤医院（清河东路）站,10024935,0,0,26,11.75511538461539,2022-03-31,2.0,2022-03-31#07,4.0,12,27,0.8709677419354839,4,0.1290322580645161,1,0.896551724137931
2090#0,07,2090,0,东怡新区站,10024063,何贤医院（清河东路）站,10024935,0,0,2,13.3915,2022-03-31,0.0,2022-03-31#07,4.0,3,27,0.8709677419354839,4,0.1290322580645161,2,0.06896551724137931
2511#1,07,2511,1,东怡新区站,10024063,何贤医院（清河东路）站,10024935,0,0,1,9.967,2022-03-31,1.0,2022-03-31#07,4.0,2,27,0.8709677419354839,4,0.1290322580645161,3,0.03448275862068965
403#1,18,403,1,东湖新村站,10002486,海印桥南站,10001734,0,0,20,6.319199999999999,2022-03-31,2.0,2022-03-31#18,1.0,5,115,0.92,10,0.08,1,0.4166666666666667
1112#0,18,1112,0,东湖新村站,10002486,海印桥南站,10001732,0,0,17,6.024470588235294,2022-03-31,2.0,2022-03-31#18,1.0,6,115,0.92,10,0.08,2,0.3541666666666667
401#1,18,401,1,东湖新村站,10002486,海印桥南站,10001732,0,0,11,5.169727272727273,2022-03-31,2.0,2022-03-31#18,1.0,6,115,0.92,10,0.08,3,0.2291666666666667
15#0,08,15,0,中医学院站,10000132,惠福西站,10005402,0,0,29,17.3028275862069,2022-03-31,2.0,2022-03-31#08,6.0,8,28,0.9032258064516128,3,0.09677419354838708,1,1.0
110#0,09,110,0,中山七路站,10009489,荔湾路口站,10004651,0,0,7,17.39057142857143,2022-03-31,0.0,2022-03-31#09,5.0,8,6,0.1714285714285714,29,0.8285714285714286,1,0.28
139#1,09,139,1,中山七路站,10000107,荔湾路口站,10004650,0,0,5,5.1934,2022-03-31,1.2,2022-03-31#09,2.0,5,6,0.1714285714285714,29,0.8285714285714286,2,0.2
160#0,09,160,0,中山七路站,10000107,荔湾路口站,10004650,0,0,4,6.47475,2022-03-31,0.0,2022-03-31#09,2.0,7,6,0.1714285714285714,29,0.8285714285714286,5,0.16
1510#0,09,1510,0,中山七路站,10000107,荔湾路口站,10004650,0,0,4,6.1625,2022-03-31,1.2,2022-03-31#09,2.0,14,6,0.1714285714285714,29,0.8285714285714286,4,0.16
145#1,09,145,1,中山七路站,10000107,荔湾路口站,10004650,0,0,5,7.5068,2022-03-31,1.2,2022-03-31#09,2.0,13,6,0.1714285714285714,29,0.8285714285714286,3,0.2
198#1,18,198,1,中山八路站,10000087,桥东小区站,10003947,0,0,10,14.3668,2022-03-31,2.0,2022-03-31#18,3.0,5,46,0.9019607843137256,5,0.09803921568627452,3,0.2127659574468085
2530#1,18,2530,1,中山八路站,10000087,桥东小区站,10009399,0,0,11,13.03172727272727,2022-03-31,2.0,2022-03-31#18,3.0,4,46,0.9019607843137256,5,0.09803921568627452,2,0.2340425531914894
1510#0,18,1510,0,中山八路站,10000087,桥东小区站,10003947,0,0,26,14.97311538461538,2022-03-31,2.0,2022-03-31#18,3.0,9,46,0.9019607843137256,5,0.09803921568627452,1,0.5531914893617021
1510#0,18,1510,0,中山八路站,10000087,芳村大道西站,10002705,0,0,24,12.39095833333333,2022-03-31,2.0,2022-03-31#18,2.0,9,35,0.8974358974358975,4,0.1025641025641026,1,0.7058823529411765
2530#1,18,2530,1,中山八路站,10000087,芳村大道西站,10002705,0,0,7,11.28342857142857,2022-03-31,1.2,2022-03-31#18,2.0,4,35,0.8974358974358975,4,0.1025641025641026,2,0.2058823529411765
198#1,18,198,1,中山八路站,10000087,芳村大道西站,10002705,0,0,3,12.46666666666667,2022-03-31,1.2,2022-03-31#18,2.0,5,35,0.8974358974358975,4,0.1025641025641026,3,0.08823529411764706
130#1,16,130,1,中山六路站,10000106,西门口（中山六路）站,10000603,0,0,5,1.4364,2022-03-31,2.0,2022-03-31#16,1.0,5,4,0.1142857142857143,31,0.8857142857142857,2,0.2173913043478261
71#1,16,71,1,中山六路站,10000106,西门口（中山六路）站,10000603,0,0,2,1.4915,2022-03-31,0.0,2022-03-31#16,1.0,14,4,0.1142857142857143,31,0.8857142857142857,5,0.08695652173913043
1510#0,16,1510,0,中山六路站,10000106,西门口（中山六路）站,10000603,0,0,8,2.247875,2022-03-31,1.2,2022-03-31#16,1.0,13,4,0.1142857142857143,31,0.8857142857142857,1,0.3478260869565217
113#0,16,113,0,中山六路站,10000106,西门口（中山六路）站,10000603,0,0,3,1.527666666666667,2022-03-31,1.0,2022-03-31#16,1.0,8,4,0.1142857142857143,31,0.8857142857142857,4,0.1304347826086956
62#0,16,62,0,中山六路站,10000106,西门口（中山六路）站,10000603,0,0,5,1.9165999999999999,2022-03-31,0.5,2022-03-31#16,1.0,7,4,0.1142857142857143,31,0.8857142857142857,3,0.2173913043478261
9793#1,07,9793,1,中海公寓站,10028363,萝岗香雪牌坊站,10006235,0,0,25,16.20392,2022-03-31,2.0,2022-03-31#07,5.0,7,59,0.921875,5,0.078125,1,0.9615384615384616
12370#1,07,12370,1,中海公寓站,10028363,萝岗香雪牌坊站,10006236,0,0,1,22.967,2022-03-31,2.0,2022-03-31#07,9.0,4,59,0.921875,5,0.078125,2,0.03846153846153846
4492#0,08,4492,0,人和墟站,10004033,凤和庄站,10002771,0,0,4,7.924999999999999,2022-03-31,1.8,2022-03-31#08,2.0,3,86,0.9772727272727272,2,0.02272727272727273,5,0.125
4491#0,08,4491,0,人和墟站,10027880,凤和庄站,10002771,0,0,5,6.85,2022-03-31,3.0,2022-03-31#08,2.0,3,86,0.9772727272727272,2,0.02272727272727273,4,0.15625
132#0,08,132,0,人和墟站,10004033,凤和庄站,10002771,0,0,5,5.44,2022-03-31,1.2,2022-03-31#08,2.0,9,86,0.9772727272727272,2,0.02272727272727273,3,0.15625
4470#0,08,4470,0,人和墟站,10027880,凤和庄站,10002771,0,0,6,5.083333333333333,2022-03-31,2.0,2022-03-31#08,2.0,3,86,0.9772727272727272,2,0.02272727272727273,2,0.1875
12770#0,08,12770,0,人和墟站,10004033,凤和庄站,10002771,0,0,12,6.9846666666666675,2022-03-31,3.0,2022-03-31#08,2.0,4,86,0.9772727272727272,2,0.02272727272727273,1,0.375
419#1,11,419,1,仓边路站,10002027,小北花圈站,10000738,0,0,2,2.692,2022-03-31,1.0,2022-03-31#11,1.0,5,7,0.148936170212766,40,0.851063829787234,5,0.06896551724137931
152#0,11,152,0,仓边路站,10002028,小北花圈站,10000740,0,0,2,2.75,2022-03-31,0.0,2022-03-31#11,1.0,3,7,0.148936170212766,40,0.851063829787234,4,0.06896551724137931
3611#0,11,3611,0,仓边路站,10002027,小北花圈站,10000740,0,0,3,3.183333333333334,2022-03-31,1.2,2022-03-31#11,1.0,6,7,0.148936170212766,40,0.851063829787234,3,0.103448275862069
412#0,11,412,0,仓边路站,10002028,小北花圈站,10000740,0,0,10,3.2283,2022-03-31,2.0,2022-03-31#11,1.0,6,7,0.148936170212766,40,0.851063829787234,2,0.3448275862068966
1491#1,11,1491,1,仓边路站,10002027,小北花圈站,10000738,0,0,12,3.315166666666667,2022-03-31,0.0,2022-03-31#11,1.0,6,7,0.148936170212766,40,0.851063829787234,1,0.4137931034482759
419#1,15,419,1,仓边路站,10002027,小北花圈站,10000738,0,0,3,3.727666666666666,2022-03-31,1.0,2022-03-31#15,1.0,4,14,0.2456140350877193,43,0.7543859649122807,4,0.09090909090909093
3611#0,15,3611,0,仓边路站,10002027,小北花圈站,10000740,0,0,3,3.049999999999999,2022-03-31,1.2,2022-03-31#15,1.0,4,14,0.2456140350877193,43,0.7543859649122807,5,0.09090909090909093
1491#1,15,1491,1,仓边路站,10002027,小北花圈站,10000738,0,0,8,3.2,2022-03-31,2.0,2022-03-31#15,1.0,7,14,0.2456140350877193,43,0.7543859649122807,3,0.2424242424242424
145#0,15,145,0,仓边路站,10002028,小北花圈站,10000740,0,0,8,3.12275,2022-03-31,2.0,2022-03-31#15,1.0,7,14,0.2456140350877193,43,0.7543859649122807,2,0.2424242424242424
412#0,15,412,0,仓边路站,10002028,小北花圈站,10000740,0,0,11,2.195545454545455,2022-03-31,2.0,2022-03-31#15,1.0,5,14,0.2456140350877193,43,0.7543859649122807,1,0.3333333333333333
9610#0,08,9610,0,光大花园站,10002925,宝业路站,10001918,0,0,15,11.67453333333333,2022-03-31,1.0,2022-03-31#08,6.0,6,5,0.2380952380952381,16,0.7619047619047619,1,0.7142857142857143
708#0,08,708,0,光大花园站,10002925,宝业路站,10001918,0,0,6,8.725,2022-03-31,0.0,2022-03-31#08,3.0,5,5,0.2380952380952381,16,0.7619047619047619,2,0.2857142857142857
