,hour_,normal_ratio,eld_ratio,transfer_time1,avg_time1,full_price1,via_stations1,hourly_cnt1,transfer_time2,avg_time2,full_price2,via_stations2,hourly_cnt2,transfer_time3,avg_time3,full_price3,via_stations3,hourly_cnt3,transfer_time4,avg_time4,full_price4,via_stations4,hourly_cnt4,transfer_time5,avg_time5,full_price5,via_stations5,hourly_cnt5
0,9,0.55,0.45,0,8.283,2.0,2.0,3,0,10.2415,1.0,2.0,4,0.0,7.100200000000001,2.0,2.0,8.0,0.0,8.360999999999999,2.0,2.0,4.0,0.0,8.2665,2.0,2.0,4.0
0,20,0.2631578947368421,0.7368421052631579,0,3.65,1.2,2.0,7,0,4.683,0.0,2.0,8,0.0,3.7355714285714288,1.2,2.0,7.0,0.0,3.517,0.0,2.0,6.0,0.0,3.4415,2.0,2.0,9.0
0,18,0.9259259259259259,0.07407407407407407,0,14.49786666666667,2.0,5.0,7,0,12.933,2.0,5.0,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,18,0.9523809523809524,0.047619047619047616,0,6.0166666666666675,3.0,2.0,4,0,3.7835,2.0,2.0,5,0.0,5.5482999999999985,2.0,2.0,5.0,0.0,4.51675,1.0,1.0,3.0,0.0,3.8334,1.0,2.0,6.0
0,17,0.6388888888888888,0.3611111111111111,0,10.252357142857141,1.0,3.0,8,0,8.892857142857142,2.0,3.0,8,0.0,10.53585714285714,2.0,3.0,16.0,0.0,8.732999999999999,2.0,3.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,9,0.1851851851851851,0.8148148148148148,0,1.483,0.0,1.0,5,0,1.931,2.0,1.0,5,0.0,1.6415,0.0,-1.0,4.0,0.0,1.927666666666666,0.0,1.0,4.0,0.0,1.6223333333333332,2.0,1.0,7.0
0,13,0.4482758620689655,0.5517241379310345,0,6.125,2.0,3.0,4,0,6.082999999999999,2.0,3.0,5,0.0,5.7556666666666665,2.0,3.0,6.0,0.0,6.439,0.0,3.0,5.0,0.0,5.8132,2.0,3.0,7.0
0,9,0.7741935483870968,0.2258064516129032,0,6.548000000000001,2.0,4.0,5,0,9.95,2.0,3.0,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,9,0.5384615384615384,0.4615384615384616,0,6.8125,2.0,2.0,4,0,5.854857142857143,3.0,2.0,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,8,0.1578947368421052,0.8421052631578947,0,4.594666666666666,0.0,2.0,10,0,4.1335,2.0,2.0,4,0.0,4.79175,2.0,2.0,4.0,0.0,4.6335,0.0,2.0,7.0,0.0,3.017,0.0,2.0,5.0
0,9,0.06666666666666668,0.9333333333333332,0,6.6085,0.0,2.0,7,0,7.116777777777778,1.0,2.0,9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,8,0.8043478260869565,0.1956521739130435,0,20.125,0.0,4.0,5,0,4.343615384615385,1.0,2.0,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,8,0.9,0.1,0,17.594666666666672,2.0,4.0,4,0,19.0232,2.0,4.0,8,0.0,17.8055,2.0,4.0,6.0,0.0,17.55,2.0,4.0,4.0,0.0,18.44433333333333,2.0,4.0,4.0
0,11,0.2307692307692308,0.7692307692307693,0,5.475,0.0,1.0,7,0,6.790000000000001,0.0,1.0,6,0.0,2.475,0.0,1.0,6.0,0.0,1.817,2.0,1.0,5.0,0.0,2.983,2.0,1.0,6.0
0,17,0.5454545454545454,0.4545454545454546,0,27.6436,2.0,8.0,5,0,26.46366666666667,2.0,6.0,7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,10,0.2727272727272727,0.7272727272727273,0,11.53,2.0,3.0,4,0,11.10253846153846,2.0,3.0,6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,20,0.9705882352941176,0.02941176470588235,0,9.517000000000001,1.2,5.0,3,0,11.26675,2.0,4.0,9,0.0,15.96666666666667,2.0,6.0,11.0,0.0,10.22,2.0,4.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,8,0.8421052631578947,0.1578947368421052,0,14.289357142857142,2.0,4.0,14,0,12.5234,2.0,4.0,6,0.0,13.06209090909091,2.0,4.0,13.0,0.0,12.81666666666667,2.0,4.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,13,0.8148148148148148,0.1851851851851851,0,6.383333333333333,2.0,4.0,4,0,6.372999999999999,2.0,3.0,6,0.0,6.2334999999999985,2.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,12,0.5384615384615384,0.4615384615384616,0,8.524181818181818,2.0,3.0,6,0,8.767000000000001,0.0,3.0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,7,0.9642857142857144,0.03571428571428571,0,12.579125,2.0,6.0,8,0,11.23125,2.0,7.0,5,0.0,15.3,1.8,7.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,15,0.9565217391304348,0.043478260869565216,0,12.97766666666667,1.0,4.0,4,0,11.925,1.0,4.0,5,0.0,11.03725,2.0,4.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,16,0.9090909090909092,0.09090909090909093,0,8.453199999999999,2.0,2.0,8,0,8.472999999999999,2.0,2.0,7,0.0,14.567,2.0,4.0,3.0,0.0,14.892000000000001,2.0,4.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,7,0.8823529411764706,0.1176470588235294,0,9.216666666666667,2.0,3.0,5,0,6.2647499999999985,2.0,3.0,9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,12,0.25,0.75,0,7.75,0.0,3.0,5,0,7.711333333333332,2.0,3.0,5,0.0,7.592,2.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,7,0.9782608695652174,0.021739130434782608,0,18.9915,2.0,6.0,10,0,68.711,2.0,15.0,8,0.0,21.85,2.0,6.0,8.0,0.0,23.5665,2.0,6.0,12.0,0.0,20.87614285714286,2.0,6.0,7.0
0,8,0.3076923076923077,0.6923076923076923,0,6.6450999999999985,2.0,2.0,13,0,5.1,0.0,2.0,6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
